(0, 0)
(1, 0)
(2, 0)
(3, 0)
(4, 0)
(5, 0)
(6, 0)
(7, 0)
(8, 0)
(9, 0)
(10, 0)
(11, 0)
(12, 0)
(13, 0)
(14, 0)
(15, 0)
(16, 0)
(17, 0)
(18, 0)
(19, 0)
(20, 0)
(21, 0)
(22, 0)
(23, 0)
(24, 0)
(24, 1)
(23, 1)
(22, 1)
(21, 1)
(20, 1)
(20, 2)
(21, 2)
(22, 2)
(23, 2)
(24, 2)
(24, 3)
(23, 3)
(22, 3)
(21, 3)
(20, 3)
(20, 4)
(21, 4)
(22, 4)
(23, 4)
(24, 4)
(24, 5)
(24, 6)
(24, 7)
(23, 7)
(22, 7)
(21, 7)
(20, 7)
(19, 7)
(19, 8)
(20, 8)
(20, 9)
(19, 9)
(19, 10)
(20, 10)
(20, 11)
(19, 11)
(19, 12)
(20, 12)
(20, 13)
(19, 13)
(18, 13)
(17, 13)
(17, 12)
(17, 11)
(17, 10)
(17, 9)
(16, 9)
(15, 9)
(14, 9)
(13, 9)
(12, 9)
(11, 9)
(10, 9)
(9, 9)
(8, 9)
(7, 9)
(6, 9)
(5, 9)
(4, 9)
(3, 9)
(2, 9)
(1, 9)
(0, 9)
(0, 10)
(1, 10)
(2, 10)
(3, 10)
(4, 10)
(5, 10)
(6, 10)
(7, 10)
(8, 10)
(9, 10)
(10, 10)
(11, 10)
(12, 10)
(13, 10)
(14, 10)
(14, 11)
(13, 11)
(12, 11)
(11, 11)
(10, 11)
(9, 11)
(8, 11)
(7, 11)
(6, 11)
(5, 11)
(5, 12)
(6, 12)
(7, 12)
(8, 12)
(9, 12)
(9, 13)
(8, 13)
(7, 13)
(6, 13)
(5, 13)
(4, 13)
(3, 13)
(2, 13)
(1, 13)
(0, 13)
(0, 14)
(1, 14)
(2, 14)
(3, 14)
(4, 14)
(5, 14)
(6, 14)
(7, 14)
(7, 15)
(8, 15)
(9, 15)
(9, 16)
(9, 17)
(10, 17)
(11, 17)
(12, 17)
(13, 17)
(14, 17)
(15, 17)
(16, 17)
(17, 17)
(18, 17)
(19, 17)
(20, 17)
(21, 17)
(22, 17)
(23, 17)
(24, 17)
(24, 18)
(23, 18)
(22, 18)
(21, 18)
(21, 19)
(22, 19)
(23, 19)
(24, 19)
(24, 20)
(23, 20)
(22, 20)
(21, 20)
(21, 21)
(22, 21)
(23, 21)
(24, 21)
(24, 22)
(23, 22)
(22, 22)
(21, 22)
(21, 23)
(22, 23)
(23, 23)
(24, 23)
(24, 24)
