(0, 0)
(1, 0)
(2, 0)
(3, 0)
(4, 0)
(5, 0)
(6, 0)
(7, 0)
(8, 0)
(9, 0)
(10, 0)
(11, 0)
(12, 0)
(13, 0)
(14, 0)
(15, 0)
(16, 0)
(17, 0)
(18, 0)
(19, 0)
(20, 0)
(21, 0)
(22, 0)
(23, 0)
(24, 0)
(24, 1)
(24, 2)
(23, 2)
(22, 2)
(21, 2)
(20, 2)
(20, 3)
(20, 4)
(21, 4)
(22, 4)
(23, 4)
(24, 4)
(24, 5)
(24, 6)
(24, 7)
(23, 7)
(22, 7)
(21, 7)
(20, 7)
(19, 7)
(19, 8)
(19, 9)
(20, 9)
(20, 10)
(20, 11)
(19, 11)
(19, 12)
(19, 13)
(20, 13)
(20, 14)
(21, 14)
(21, 15)
(22, 15)
(22, 16)
(23, 16)
(23, 17)
(24, 17)
(24, 18)
(24, 19)
(23, 19)
(22, 19)
(21, 19)
(20, 19)
(19, 19)
(18, 19)
(17, 19)
(16, 19)
(15, 19)
(14, 19)
(13, 19)
(12, 19)
(11, 19)
(11, 20)
(11, 21)
(12, 21)
(13, 21)
(13, 22)
(13, 23)
(14, 23)
(15, 23)
(16, 23)
(17, 23)
(18, 23)
(19, 23)
(20, 23)
(21, 23)
(22, 23)
(23, 23)
(24, 23)
(24, 24)
